title,link,reviewer,stars,gm,year,sentiment_sentiment_neg,sentiment_sentiment_neu,sentiment_sentiment_pos,sentiment_sentiment_compound,review_length
Tender Mercies,https://www.rogerebert.com/reviews/great-movie-tender-mercies-1983,Roger Ebert,4.0,True,1983,0.049,0.835,0.116,0.9985,7310
The Cabinet of Dr. Caligari,https://www.rogerebert.com/reviews/great-movie-the-cabinet-of-dr-caligari-1920,Roger Ebert,4.0,True,1920,0.118,0.762,0.12,-0.439,7907
The Thief of Bagdad,https://www.rogerebert.com/reviews/the-thief-of-bagdad-1940,Roger Ebert,4.0,False,1940,0.064,0.776,0.16,0.9992,7409
Chop Shop,https://www.rogerebert.com/reviews/chop-shop-2008-1,Roger Ebert,4.0,False,1,0.049,0.877,0.074,0.9865,7444
La Belle Noiseuse,https://www.rogerebert.com/reviews/la-belle-noiseuse-1991,Roger Ebert,4.0,False,1991,0.079,0.789,0.131,0.9978,7509
Withnail and I,https://www.rogerebert.com/reviews/withnail-and-i-1987,Roger Ebert,4.0,False,1987,0.091,0.822,0.086,-0.9088,7687
Exotica,https://www.rogerebert.com/reviews/exotica-1994,Roger Ebert,4.0,False,1994,0.069,0.798,0.133,0.9984,7681
The Double Life of Veronique,https://www.rogerebert.com/reviews/the-double-life-of-veronique-1991-1,Roger Ebert,4.0,False,1,0.03,0.819,0.151,0.9996,7371
Waking Life,https://www.rogerebert.com/reviews/waking-life-2001-1,Roger Ebert,4.0,False,1,0.073,0.774,0.153,0.9991,7744
Secrets and Lies,https://www.rogerebert.com/reviews/secrets-and-lies-1996-1,Roger Ebert,4.0,False,1,0.1,0.775,0.124,0.9888,7559
After Hours,https://www.rogerebert.com/reviews/after-hours-1985-1,Roger Ebert,4.0,False,1,0.099,0.778,0.123,0.9872,8077
Mon Oncle Antoine,https://www.rogerebert.com/reviews/great-movie-mon-oncle-antoine-1971,Roger Ebert,4.0,True,1971,0.083,0.842,0.076,-0.7472,7403
The Silence,https://www.rogerebert.com/reviews/the-silence-1963,Roger Ebert,4.0,False,1963,0.099,0.825,0.076,-0.9799,7363
Magnolia,https://www.rogerebert.com/reviews/great-movie-magnolia-1999,Roger Ebert,4.0,True,1999,0.118,0.784,0.098,-0.9778,7610
A Prairie Home Companion,https://www.rogerebert.com/reviews/a-prairie-home-companion-2006-1,Roger Ebert,4.0,False,1,0.048,0.845,0.107,0.998,7753
The Last Temptation of Christ,https://www.rogerebert.com/reviews/the-last-temptation-of-christ-1988,Roger Ebert,4.0,False,1988,0.07,0.841,0.089,0.9621,7047
Baraka,https://www.rogerebert.com/reviews/great-movie-baraka-1992,Roger Ebert,4.0,True,1992,0.036,0.83,0.134,0.9992,7529
"The Godfather, Part II",https://www.rogerebert.com/reviews/great-movie-the-godfather-part-ii-1974,Roger Ebert,4.0,True,1974,0.084,0.786,0.13,0.997,8212
Adaptation,https://www.rogerebert.com/reviews/great-movie-adaptation-2002,Roger Ebert,4.0,True,2002,0.065,0.776,0.158,0.9994,8210
L.A. Confidential,https://www.rogerebert.com/reviews/great-movie-la-confidential-1997,Roger Ebert,4.0,True,1997,0.071,0.849,0.081,0.9202,8211
Mephisto,https://www.rogerebert.com/reviews/great-movie-mephisto-1981,Roger Ebert,4.0,True,1981,0.073,0.766,0.161,0.9993,8287
Dog Day Afternoon,https://www.rogerebert.com/reviews/great-movie-dog-day-afternoon-1975,Roger Ebert,4.0,True,1975,0.101,0.786,0.114,0.9541,8012
Through a Glass Darkly,https://www.rogerebert.com/reviews/great-movie-through-a-glass-darkly-1961,Roger Ebert,4.0,True,1961,0.073,0.842,0.085,0.9578,7841
Cool Hand Luke,https://www.rogerebert.com/reviews/great-movie-cool-hand-luke-1967,Roger Ebert,4.0,True,1967,0.127,0.74,0.134,0.3764,7628
Triumph of the Will,https://www.rogerebert.com/reviews/great-movie-triumph-of-the-will-1935,Roger Ebert,4.0,True,1935,0.077,0.786,0.137,0.9984,7857
Rocco and His Brothers,https://www.rogerebert.com/reviews/great-movie-rocco-and-his-brothers-1960,Roger Ebert,4.0,True,1960,0.096,0.746,0.157,0.9988,7878
My Man Godfrey,https://www.rogerebert.com/reviews/great-movie-my-man-godfrey-1936,Roger Ebert,4.0,True,1936,0.075,0.781,0.144,0.9985,7586
Johnny Guitar,https://www.rogerebert.com/reviews/johnny-guitar-1954,Roger Ebert,4.0,False,1954,0.087,0.783,0.13,0.9967,7215
Ordet,https://www.rogerebert.com/reviews/great-movie-ordet-1955,Roger Ebert,4.0,True,1955,0.094,0.828,0.078,-0.9406,7721
What Ever Happened to Baby Jane?,https://www.rogerebert.com/reviews/great-movie-what-ever-happened-to-baby-jane-1962,Roger Ebert,4.0,True,1962,0.106,0.798,0.096,-0.967,8274
Vengeance is Mine,https://www.rogerebert.com/reviews/vengeance-is-mine-2008,Roger Ebert,4.0,False,2008,0.169,0.724,0.107,-0.999,8160
Diva,https://www.rogerebert.com/reviews/diva-2008,Roger Ebert,4.0,False,2008,0.035,0.822,0.144,0.9994,7500
The Best Years of Our Lives,https://www.rogerebert.com/reviews/the-best-years-of-our-lives-1946,Roger Ebert,4.0,False,1946,0.076,0.786,0.137,0.9989,8036
Mishima: A Life in Four Chapters,https://www.rogerebert.com/reviews/great-movie-mishima-a-life-in-four-chapters-1985,Roger Ebert,4.0,True,1985,0.074,0.772,0.154,0.9992,8644
Winter Light,https://www.rogerebert.com/reviews/great-movie-winter-light-1962,Roger Ebert,4.0,True,1962,0.143,0.745,0.112,-0.9952,7873
The Enigma of Kaspar Hauser,https://www.rogerebert.com/reviews/the-enigma-of-kaspar-hauser-1974,Roger Ebert,4.0,False,1974,0.067,0.801,0.132,0.9989,8087
Blade Runner: The Final Cut,https://www.rogerebert.com/reviews/great-movie-blade-runner-the-final-cut-1982,Roger Ebert,4.0,True,1982,0.066,0.808,0.126,0.9979,7218
Sansho the Bailiff,https://www.rogerebert.com/reviews/great-movie-sansho-the-bailiff-1954,Roger Ebert,4.0,True,1954,0.091,0.825,0.084,-0.4825,8212
El Topo,https://www.rogerebert.com/reviews/great-movie-el-topo-1970,Roger Ebert,4.0,True,1970,0.081,0.848,0.071,-0.875,6724
The Great Dictator,https://www.rogerebert.com/reviews/great-movie-the-great-dictator-1940,Roger Ebert,4.0,True,1940,0.074,0.802,0.124,0.9975,7789
Babel,https://www.rogerebert.com/reviews/babel-2006,Roger Ebert,4.0,False,2006,0.096,0.799,0.105,0.9321,8179
Werckmeister Harmonies,https://www.rogerebert.com/reviews/werckmeister-harmonies-2000,Roger Ebert,4.0,False,2000,0.053,0.842,0.106,0.9967,6520
Pan's Labyrinth,https://www.rogerebert.com/reviews/great-movie-pans-labyrinth-2006,Roger Ebert,4.0,True,2006,0.112,0.77,0.118,0.8544,7553
Ace in the Hole,https://www.rogerebert.com/reviews/great-movie-ace-in-the-hole-1951,Roger Ebert,4.0,True,1951,0.137,0.756,0.107,-0.9889,7057
Killer of Sheep,https://www.rogerebert.com/reviews/great-movie-killer-of-sheep-1977,Roger Ebert,4.0,True,1977,0.107,0.767,0.126,0.9853,7046
WR: Mysteries of the Organism,https://www.rogerebert.com/reviews/great-movie-wr-mysteries-of-the-organism-1971,Roger Ebert,4.0,True,1971,0.078,0.8,0.123,0.9963,7334
